기관명,url,iframe,rowXpath,paging,startPage,endPage,login,제목,상세페이지주소,작성일,작성자,제외항목,use,지역,등록,담당업체,담당자,oid
용인시청,"https://eminwon.yongin.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&jspPageName=OfrNotAncmtLSub.jsp&subCheck=Y&not_ancmt_se_code=01,04&Key=B_Subject&ofr_pageSize=30&pageIndex=${i}",,"//table[@class=""boardDefalut""]/tbody/tr",,1,1,,td[3],"td[3]|-onclick|-""https://eminwon.yongin.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?epcCheck=&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,1,경기,1,일맥,전영서,61
우정사업본부,,,,,1,3,,,,,,,0,전국,1,"일맥,링크",전영서,62
울릉군청,https://www.ulleung.go.kr/ko/page.do?mnu_uid=571&boardType=notice&pageNo=${i},,"//*[@id=""content""]/div[1]/div/div[3]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.ulleung.go.kr/ko/page.do"" + rst.split(""&pageNo"")[0] + ""&cmd=2""",td[4],td[3],,1,전국,1,일맥,전영서,63
은평구,https://www.ep.go.kr/www/selectEminwonList.do?key=755&notAncmtSeCode=04,,"//*[@id=""contents""]/div/table/tbody/tr","//div[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://www.ep.go.kr/www/"" + rst.split(""/"")[1].split(""&pageIndex="")[0] + ""&searchCnd="" + rst.split(""&searchCnd="")[1]",td[4],td[3],,1,서울,1,일맥,전영서,64
인천 부평구청,https://www.icbp.go.kr/main/eminwon/eminwonAnnounceList.do?listsz=50&pgno=${i},,"//div[@id=""detail_con""]/div[4]/ul/li",,1,1,,p[2]/a,"p[2]/a|-href|-""https://www.icbp.go.kr"" + rst.split(""&listsz"")[0]","ul/li[2]|-|-rst.replace(""작성일 : "", """")","ul/li[1]|-|-rst.replace(""담당부서 : "", """")",,1,인천,1,링크,전영서,65
인천 상수도,https://www.incheon.go.kr/water/WA020201?curPage=${i},,"//*[@id=""datatable-default""]/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.incheon.go.kr"" + rst",td[5],td[4],"td[1]/span/em|-|-""공지"" in rst",1,인천,1,링크,전영서,66
인천경제자유구역청,https://www.ifez.go.kr/main/pst/list.do?pst_id=noti02&page=${i},,"//*[@id=""real_contents""]/div[2]/div[4]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.ifez.go.kr/main/pst/"" + rst",td[5],td[4],,1,인천,1,링크,전영서,67
인천계양구,https://www.gyeyang.go.kr/open_content/main/eminwon/announce/eminwonList.do?pgno=${i},,"//table[@class=""board_list""]/tbody[1]/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.gyeyang.go.kr"" + rst.split(""&pgno"")[0]",td[5],td[4],,1,인천,1,링크,전영서,68
인천공항공사,https://www.airport.kr/co/ko/cmm/cmmBbsList.do?FNCT_CODE=19,,"//*[@id=""menu849_obj145""]/div[2]/div/div[1]/table/tbody/tr","//ol[@class=""pagenation-list""]/li/a[contains(text(),""${i}"")]",1,1,,td[2]/a/strong,"td[2]/a|-onclick|-""https://www.airport.kr/bbs/"" + rst.split(""'"")[1] + ""/"" + rst.split(""'"")[3] + ""/"" + rst.split(""'"")[5] + ""/artclView.do""",td[3],,,1,인천,1,"일맥,링크",전영서,69
인천광역시 종합건설본부,https://www.incheon.go.kr/jonggeon/JO020101?curPage=${i},,"//*[@id=""datatable-default""]/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.incheon.go.kr"" + rst",td[4],td[3],"td[1]/span/em|-|-""공지"" in rst",1,인천,1,링크,전영서,70
인천광역시강화교육지원청,https://ganghwa.ice.go.kr/support/support.asp,,"//*[@id=""sub_contents""]/div[2]/form/div/table/tbody/tr","//div[@class=""paging""]/ol/li/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://ganghwa.ice.go.kr/support/support.asp?pNum=3&nNum=4&ptype=view&cmode=md&cstep=0401010000&path_url=%2Fsupport%2Fsupport.asp&num="" + rst.split(""'"")[3]",td[5],td[3],,1,인천,1,링크,전영서,71
인천광역시교육청,https://www.ice.go.kr/ice/na/ntt/selectNttList.do?mi=10840&bbsId=1482,,"//*[@id=""board-imgTxt""]/table/tbody/tr","//div[@class=""bbs_pagerA""]/div/a[contains(text(),""${i}"")]",1,3,,td[2]/a/em,"td[2]/a|-data-id|-""https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?bbsId=1482&mi=10840&listCo=10&searchType=all&nttSn="" + rst",td[5],td[3],,1,인천,1,링크,전영서,72
인천광역시남부교육지원청,https://nambu.ice.go.kr/common/Contents.do#w1vf2D/163/3kT7LQ/BO/0/0,,"//tr[td[@class='tit']]","//div[@class=""paging""]/p/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-data-boardidx|-""https://nambu.ice.go.kr/common/Contents.do#w1vf2D/163/3kT7LQ/BO/R/"" + rst + ""/N/N""",td[4],td[3],,1,인천,1,링크,전영서,73
인천광역시동부교육지원청,https://dongbu.ice.go.kr/community/notice.jsp,,"//*[@id=""detail_con""]/div[2]/table/tbody/tr","//div[contains(@class, ""paging"")]/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://dongbu.ice.go.kr"" + rst.split(""&pgno"")[0]",td[5],td[4],,1,인천,1,링크,전영서,74
인천광역시북부교육지원청,https://bukbu.ice.go.kr/bbs/data/list.do?menu_idx=235,,"//*[@id=""content_wrap""]/div[2]/table/tbody/tr","//div[@class=""paging""]/ul/li/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://bukbu.ice.go.kr/bbs/data/view.do?menu_idx=235&data_idx="" + rst.split(""'"")[3]",td[4],td[3],,1,인천,1,링크,전영서,75
인천광역시서부교육지원청,https://seobu.ice.go.kr/bseobu/list.aspx?board_code=4644,,"//*[@id=""subContent""]/div[2]/section/div/div[2]/table/tbody/tr","//ul[@id=""pagination""]/li/a[contains(text(),""${i}"")]",1,3,,td[2]/span/a,"td[2]/span/a|-href|-""https://seobu.ice.go.kr"" + rst.split(""&page"")[0] + ""&board_code"" + rst.split(""&board_code"")[1]",td[3]/span,td[4]/span,,1,인천,1,링크,전영서,76
인천국제공항공사,,,,,1,3,,,,,,,0,전국,1,"일맥,링크",전영서,77
인천남동구,https://www.namdong.go.kr/main/eminwon/eminwonAnnounceList.do?listsz=50&pgno=${i},,"//div[@class=""board_list""]/ul[1]/li",,1,1,,p[2]/a,"p[2]/a|-href|-""https://www.namdong.go.kr/"" + rst.split(""&pgno"")[0]","ul/li[2]|-|-rst.replace(""작성일 : "", """")","ul/li[1]|-|-rst.replace(""담당부서 : "", """")",,1,인천,1,링크,전영서,78
인천도시공사,https://www.ih.co.kr/main/customer/notification/bid.jsp?pgno=${i},,"//*[@id=""detail_con""]/div[4]/ul/li",,1,1,,p[1]/a,"p[1]/a|-href|-""https://www.ih.co.kr"" + rst.split(""&pgno"")[0]",div/ul/li[2],div/ul/li[3],,1,인천,1,링크,전영서,79
인천동구,https://www.icdonggu.go.kr/main/information/news/announce.jsp,,"//*[@id=""detail_con""]/div[3]/table/tbody/tr","//p[contains(@class, ""paging"")]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.icdonggu.go.kr"" + rst.split(""&pgno"")[0]",td[6],td[5],,0,인천,1,링크,전영서,80
인천미추홀구,https://www.michuhol.go.kr/main/board/list.do?board_code=board_13&page=${i},,"//table[@class=""board-list-s1""]/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.michuhol.go.kr/main/board/"" + rst",td[5],td[4],,1,인천,1,링크,전영서,81
인천본부세관,https://www.customs.go.kr/incheon/ad/go/gongMeList.do?tcd=1&mi=3650&currPage=${i},,"//*[@id=""sub_content""]/div[2]/div/table/tbody/tr",,1,1,,td[2]/a,"td[2]/a|-data-id|-""https://www.customs.go.kr/incheon/ad/go/gongMeInfo.do?mi=3650&searchType=subject&sysId=incheon&tcd=1&seq="" + rst",td[4],td[3],,0,인천,1,링크,전영서,82
인천서구청,https://www.seo.incheon.kr/open_content/main/bbs/bbsMsgList.do?bcd=gosi&listsz=50&pgno=${i},,"//div[@class=""board_list""]/table[@class=""general_board""]/tbody/tr",,1,1,,td[2]/a,"td[2]/a|-href|-""https://www.seo.incheon.kr"" + rst.split(""&pgno"")[0]","td[5]|-|-_today() if "":"" in rst else rst",td[4],,1,인천,1,링크,전영서,83
인천시청,http://announce.incheon.go.kr/citynet/jsp/sap/SAPGosiBizProcess.do?command=searchList&flag=gosiGL&svp=Y&sido=ic,,"//table[@class=""toolBoardList""]/tbody/tr","/html/body/form/table/tbody/tr[2]/td[2]/table/tbody/tr[7]/td/table/tbody/tr/td/a[contains(text(),""${i}"")]",1,3,,td[2],".|-onclick|-""http://announce.incheon.go.kr/citynet/jsp/sap/SAPGosiBizProcess.do?command=searchDetail&flag=gosiGL&svp=Y&sido=ic&sno="" + rst.split(""'"")[1] + ""&gosiGbn="" + rst.split(""'"")[3]",td[4],td[3],,1,인천,1,링크,전영서,84
인천연수구청,"https://eminwon.yeonsu.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=15&not_ancmt_se_code=01,02,03,04,06,07&keyField=B_Subject&pageIndex=${i}",,"//table[@class=""general_board""]/tbody[1]/tr",,1,5,,td[2]/p/a,"td[2]/p/a|-href|-""https://eminwon.yeonsu.go.kr"" + rst.split(""&pageIndex"")[0] + ""&jndinm"" + rst.split(""&jndinm"")[1]",td[4],td[3],,1,인천,1,링크,전영서,85
인천중구청,"https://eminwon.icjg.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&not_ancmt_mgt_no=&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=10&not_ancmt_se_code=01,02,03,04,05,06&countYn=Y&Key=B_Subject&pageIndex=${i}",,"//*[@id=""iframeWrap""]/div[2]/table[1]/tbody/tr","//span[@class=""page_no""]/a[contains(text(),""${i}"")]",1,3,,td[3]//a,"td[3]//a|-onclick|-""https://eminwon.icjg.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_se_code=01%2C02%2C03%2C04%2C05%2C06&srchKey=sj&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,1,인천,1,링크,전영서,86
인천항만공사,https://www.icpa.or.kr/article/list.do?boardKey=213&menuKey=397&recordCountPerPage=30&currentPageNo=${i},,"//*[@id=""searchForm""]/div[2]/table/tbody/tr",,1,1,,td[2]/a,"td[2]/a|-href|-""https://www.icpa.or.kr/article/"" + rst.split(""&currentPageNo"")[0]",td[3],,"td[1]/img|-alt|-""공지"" in rst",0,인천,1,링크,전영서,87
인천해사고등학교,https://inm.icehs.kr/boardCnts/list.do?boardID=220209&m=0601&s=inm&page=${i},,"//*[@id=""subContent""]/div[2]/form/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-onclick|-""https://inm.icehs.kr/boardCnts/updateCnt.do?boardID="" + rst.split(""'"")[1] + ""&viewBoardID=""  + rst.split(""'"")[3] + ""&boardSeq=""  + rst.split(""'"")[5] + ""&lev=0"" ",td[4],td[3],,1,인천,1,"일맥,링크",전영서,88
인천해양경찰서,https://www.kcg.go.kr/inchoncgs/na/ntt/selectNttList.do?mi=2083&bbsId=28&currPage=${i},,"//*[@id=""subContent""]/div[2]/div[2]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.kcg.go.kr"" + rst",td[4],td[3],,1,인천,1,링크,전영서,89
정부24 지자체소식,https://www.gov.kr/portal/locgovNews?Mcode=11182&pageIndex=${i},,//ul/li,,1,30,,dl/dt/a,"dl/dt/a|-href|-""https://www.gov.kr"" + rst.split(""&pageIndex"")[0] + rst.split(""&pageIndex"")[1][2:]","div/span[2]|-|-rst.replace(""등록일  "", """")",div/span[1]/a,,1,전국,1,"일맥,링크",전영서,90
정부청사관리본부,https://gbmo.go.kr/chungsa/na/ntt/selectNttList.do?mi=1559&bbsId=1114&currPage=${i},,"//*[@id=""contents""]/div/div[4]/table/tbody/tr",,1,1,,td[3]/a,"td[3]/a|-data-id|-""https://gbmo.go.kr//chungsa/na/ntt/selectNttInfo.do?&searchType=all&mi=1559&bbsId=1114&nttSn="" + rst",td[5],td[4],,0,인천,1,"일맥,링크",전영서,91
제주지방항공청,https://www.molit.go.kr/USR/I0204/m_45/lst.jsp?gubun=4&lcmspage=${i},,"//*[@id=""cont-body""]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.molit.go.kr/USR/I0204/m_45/"" + rst.split(""&search"")[0] + ""&idx="" + rst.split(""&idx="")[1]",td[4],td[3],,1,전국,1,일맥,전영서,92
조달청,https://www.pps.go.kr/kor/bbs/list.do?key=00641&pageIndex=${i},,"//*[@id=""frm""]/div/div[2]/div[1]/table/tbody/tr",,1,3,,td[2]/div/a,"td[2]/div/a|-onclick|-""https://www.pps.go.kr/kor/bbs/view.do?key=00641&bbsSn="" + rst.split(""'"")[1]",td[5],td[4],,1,전국,1,"일맥,링크",전영서,93
종로구,https://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000271&menuId=1756&menuNo=1756,,"//*[@id=""subContent""]/form[1]/div[2]/table/tbody/tr","//div[@class=""paging""]//li/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://www.jongno.go.kr/portal/bbs/selectBoardArticle.do?bbsId=BBSMSTR_000000000271&menuNo=1756&menuId=1756&nttId="" + rst.split(""'"")[1]",td[5],td[4],,1,서울,1,일맥,전영서,94
중구,https://www.junggu.seoul.kr/content.do?cmsid=14363,,"//*[@id=""content""]/div[2]/div[1]/table/tbody/tr","//ul[@class=""pagination""]/li[@class=""paginate_button""]/a[contains(text(),""${i}"")]",1,3,,td[2]//a,"td[2]//a|-href|-""https://www.junggu.seoul.kr"" + rst",td[5],td[4],,1,서울,1,일맥,전영서,95
중구청,https://www.junggu.seoul.kr/content.do?cmsid=14232,,"//*[@id=""content""]/div[2]/div[1]/table/tbody/tr","//ul[@class=""pagination""]/li[@class=""paginate_button""]/a[contains(text(),""${i}"")]",1,3,,td[2]//a,"td[2]//a|-href|-""https://www.junggu.seoul.kr"" + rst",td[3],,,1,서울,1,일맥,전영서,96
중랑구,https://www.jungnang.go.kr/portal/bbs/list/B0000117.do?menuNo=200475,,"//*[@id=""contents""]/div/div[3]/div/table/tbody/tr","//div[@class=""paging""]//li/a[contains(text(),""${i}"")]",1,3,,td[2]//a,"td[2]//a|-href|-""https://www.jungnang.go.kr"" + rst.split(""&sdate"")[0]",td[5],td[3],,1,서울,1,일맥,전영서,97
천안시청,https://eminwon.cheonan.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?epcCheck=Y&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=10&not_ancmt_se_code=01%2C02%2C04%2C05&countYn=Y&recent_mm=60&list_gubun=&Key=B_Subject,,//tbody/tr[count(child::td) >= 5][position() > 1],"//table/tbody/tr/td[4]/span[@class=""page_no""][${i}]/a",1,3,,td[3]/p/a,"td[1]/a|-onclick|-""https://eminwon.cheonan.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_se_code=01%2C02%2C04%2C05&initValue=Y&countYn=Y&yyyymmdd=&recent_mm=60&list_gubun=&Key=B_Subject&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/a,td[4]/a,,0,충남,1,일맥,전영서,98
청양군청,"https://eminwon.cheongyang.go.kr/emwp/jsp/ofr/OfrNotAncmtL.jsp?not_ancmt_se_code=01,04,06&list_gubun=A&pageIndex=${i}",,/html/body/form/table[3]/tbody/tr/td/table[1]/tbody/tr[count(child::td) >= 5][position() > 1],,1,3,,td[3]/p/a,"td[3]/p/a|-onclick|-""https://eminwon.cheongyang.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=N&not_ancmt_se_code=01%2C04%2C06&initValue=Y&countYn=Y&list_gubun=A&Key=B_Subject&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/a,td[4]/a,,0,충남,1,일맥,전영서,99
충남개발공사,https://www.cndc.kr/bbs/list.do?key=2404080009&pageIndex=${i},,"//*[@id=""board-st1""]/tbody/tr",,1,1,,td[2]/div/a,"td[2]/div/a|-onclick|-""https://www.cndc.kr/bbs/view.do?key=2404080009&sc_detailAt=&orderBy=bbsOrdr+desc&pstSn="" + rst.split(""'"")[1]",td[6],td[4],,0,충남,1,일맥,전영서,100
충남도청,https://www.chungnam.go.kr/cnportal/province/province/list.do?menuNo=500487,,"//*[@id=""content""]/div/div[2]/table/tbody/tr","//div[@class=""paginationSet""]/ul/li/a/span[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.chungnam.go.kr"" + rst.split(""&pageIndex"")[0]",td[6],td[5],,0,충남,1,일맥,전영서,101
충청남도개발공사,https://www.cndc.kr/bbs/list.do?key=2404080009,,"//*[@id=""board-st1""]/tbody/tr","//*[@id=""pageNavi""]/a[contains(@onclick, ""(${i})"")]",1,1,,td[2]/div/a,"td[2]/div/a|-onclick|-""https://www.cndc.kr/bbs/view.do?key=2404080009&pstSn="" + rst.split(""'"")[1]",td[6],td[4],,0,충남,0,일맥,전영서,102
충청남도건설본부,https://minwon.chungnam.go.kr/citynet/jsp/sap/SAPGosiBizProcess.do?command=searchList&flag=gosiGL&svp=Y&currPageNo=${i},,//form/table/tbody/tr[2]/td[2]/table/tbody/tr[5]/td/table/tbody/tr,,1,3,,td[2],".|-onclick|-""https://minwon.chungnam.go.kr/citynet/jsp/sap/SAPGosiBizProcess.do?command=searchDetail&flag=gosiGL&svp=Y&sno="" + rst.split(""'"")[1] + ""&gosiGbn="" + rst.split(""'"")[3]",td[4],td[3],,0,충남,1,일맥,전영서,103
태안군청,"https://eminwon.taean.go.kr/emwp/jsp/ofr/OfrNotAncmtL.jsp?not_ancmt_se_code=01,02,03,04,05&list_gubun=A&pageIndex=${i}",,/html/body/form/table[3]/tbody/tr/td/table[1]/tbody/tr[count(child::td) >= 5][position() > 1],"//table/tbody/tr/td[4]/span[@class=""page_no""][${i}]/a",1,3,,td[3]/p/a,"td[3]/p/a|-onclick|-""http://eminwon.taean.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=N&not_ancmt_se_code=01%2C02%2C03%2C04%2C05&list_gubun=A&Key=B_Subject&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/a,td[4]/a,,0,충남,1,일맥,전영서,104
하남시청,"https://www.hanam.go.kr/www/selectGosiList.do?key=171&not_ancmt_se_code=01,04",,"//*[@id=""contents""]/table/tbody/tr","//div[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[4]/a,"td[4]/a|-href|-""https://www.hanam.go.kr/www/"" + rst.split(""/"")[1]",td[3],td[5],,1,경기,0,일맥,전영서,105
한국가스공사,https://www.kogas.or.kr/site/koGas/goBoard.do?pageOffset=10&pageSize=10&Key=1010201000000&boardNo=6&pageIndex=${i},,"//*[@id=""tableA""]/tbody/tr","//div[@class=""pu_paging""]/span/a[contains(text(),""${i}"")]",1,3,,td[2]/a/span,"td[2]/a|-href|-""https://www.kogas.or.kr/site/koGas/bbs/View.do?cbIdx=6&Key=1010201000000&pageOffset=0&boardIdx="" + rst.split(""("")[1].split("")"")[0]",td[3],,,1,전국,1,"일맥,링크",전영서,106
한국공항공사,https://www.airport.co.kr/www/cms/frCon/index.do?MENU_ID=870,,"//*[@id=""tbody""]/tr","//ul[@class=""paging""]/li/button[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-data-idno|-""https://www.airport.co.kr/www/cms/frBoardCon/boardView.do?pagePerCnt=15&MENU_ID=870&SITE_NO=2&BOARD_SEQ=110&BBS_SEQ="" + rst",td[5]/span,td[4]/span,,1,전국,1,"일맥,링크",전영서,107
한국자산관리공사,https://www.kamco.or.kr/portal/bbs/list.do?ptIdx=480&mId=0701020000&page=${i},,"//*[@id=""list""]/div/div/div[2]/div/table/tbody/tr",,1,1,,td[2]/span/a,"td[2]/span/a|-onclick|-""https://www.kamco.or.kr/portal/bbs/view.do?mId=0701020000&ptIdx=480&bIdx="" + rst.split(""'"")[3]",td[5],td[3],,1,전국,1,"일맥,링크",전영서,108
한국전력공사,,,,,,,,,,,,,0,전국,1,"일맥,링크",전영서,109
한국철도공사,https://info.korail.com/info/selectBbsNttList.do?bbsNo=200&key=910,,"//*[@id=""bbsNttForm""]/fieldset/div[1]/table/tbody/tr","//div[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://info.korail.com/info/selectBbsNttView.do?key="" + rst.split(""key="")[1].split(""&search"")[0]",td[4],,,1,전국,1,"일맥,링크",전영서,110
한국환경공단,https://www.keco.or.kr/kr/open/communityid/1/list.do?p=${i},,"//*[@id=""tbBoard""]/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.keco.or.kr/kr/open/communityid/1/view.do?p=&idx="" + rst.split(""("")[1].split("")"")[0]",td[4],,"td[1]/span|-|-""공지"" in rst",0,전국,1,"일맥,링크",전영서,111
홍성군청,https://www.hongseong.go.kr/prog/saeolGosi/kor/sub03_0204/GOSI_ALL/list.do?pageIndex=${i},,"//div[@id=""txt""]/div/div[1]/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-onclick|-""https://www.hongseong.go.kr/prog/saeolGosi/kor/sub03_0204/GOSI_ALL/view.do?notAncmtMgtNo="" + rst.split(""'"")[1]",td[5],td[4],,1,충남,1,일맥,전영서,112
화성시청,https://www.hscity.go.kr/www/gosi/BD_bidding.do?q_notAncmtSeCode=02&q_cp=${i},,"//*[@id=""dataForm""]//tbody/tr","//span[@class=""page_no""]/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://www.hscity.go.kr/www/gosi/BD_selectBiddingDetail.do?q_notAncmtSeCode=02&q_notAncmtMgtNo="" + rst.split(""'"")[1]",td[4],td[3],,1,경기,0,"일맥,링크",전영서,113
